;4;6;7;9;10;11;12;13;14;15;16;17
affiliations;C1;;AD;N1;AD;M1;AD;AD;M1;AD;AD;N1
affiliations;;;;;;;;AF;;;;
affiliations;;;;;;;;N1;;;;
title;T1;TI;T1;T1;T1;T1;T1;T1;T1;T1;TI;T1
authors;A1;AU;AU;AU;AU;A1;AU;AU;A1;AU;AU;AU
authors;;;A2;;;A2;;;A2;;A2;
DOI;DO;DO;DO;L3;DO;DO;DO;DO;DO;DO;DO;
DOI;;;;;;;;L3;;;;
DOI;;;;;;;;UR;;;;
ISSN;SN;SN;SN;SN;SN;SN;SN;SN;SN;SN;SN;SN
year;Y1;PY;PY;Y1;PY;Y1;Y1;Y1;Y1;PY;PY;Y1
publisher;PB;;PB;PB;PB;;PB;PB;PB;PB;PB;
journal;JO;JO;JF;JO;JF;JF;JO;JO;JF;JF;T2;JO
corrAuth;;;;;;;;;AD;;N1;
